,Date,State,Confirmed,Deceased,Recovered,State_Name
6744,24-Sep-20,UP,4591,67,4922,Uttar Pradesh
6745,24-Sep-20,UT,684,13,1031,Uttarakhand
6746,24-Sep-20,WB,3196,62,3014,West Bengal
6747,25-Apr-20,AN,4,0,0,Andaman and Nicobar Islands
6748,25-Apr-20,AP,61,2,26,Andhra Pradesh
6749,25-Apr-20,AR,0,0,0,Arunachal Pradesh
6750,25-Apr-20,AS,0,0,0,Assam
6751,25-Apr-20,BR,28,0,1,Bihar
6752,25-Apr-20,CH,1,0,0,Chandigarh
6753,25-Apr-20,CT,1,0,2,Chhattisgarh
6754,25-Apr-20,DD,0,0,0,Daman and Diu
6755,25-Apr-20,DL,111,1,12,Delhi
6756,25-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
6757,25-Apr-20,GA,0,0,0,Goa
6758,25-Apr-20,GJ,256,6,17,Gujarat
6759,25-Apr-20,HP,0,0,4,Himachal Pradesh
6760,25-Apr-20,HR,12,0,5,Haryana
6761,25-Apr-20,JH,8,0,0,Jharkhand
6762,25-Apr-20,JK,40,1,3,Jammu and Kashmir
6763,25-Apr-20,KA,26,0,6,Karnataka
6764,25-Apr-20,KL,7,0,7,Kerala
6765,25-Apr-20,LA,2,0,0,Ladakh
6766,25-Apr-20,LD,0,0,0,Lakshadweep
6767,25-Apr-20,MH,811,22,119,Maharashtra
6768,25-Apr-20,ML,0,0,0,Meghalaya
6769,25-Apr-20,MN,0,0,0,Manipur
6770,25-Apr-20,MP,99,7,71,Madhya Pradesh
6771,25-Apr-20,MZ,0,0,0,Mizoram
6772,25-Apr-20,NL,0,0,0,Nagaland
6773,25-Apr-20,OR,6,0,1,Odisha
6774,25-Apr-20,PB,10,0,2,Punjab
6775,25-Apr-20,PY,1,0,0,Puducherry
6776,25-Apr-20,RJ,49,2,20,Rajasthan
6777,25-Apr-20,SK,0,0,0,Sikkim
6778,25-Apr-20,TG,7,0,16,Telangana
6779,25-Apr-20,TN,66,1,94,Tamil Nadu
6780,25-Apr-20,TR,0,0,0,Tripura
6781,25-Apr-20,TT,1835,44,442,Total
6782,25-Apr-20,UN,0,0,0,State Unassigned
6783,25-Apr-20,UP,172,2,35,Uttar Pradesh
6784,25-Apr-20,UT,0,0,1,Uttarakhand
6785,25-Apr-20,WB,57,0,0,West Bengal
6786,25-Aug-20,AN,41,2,139,Andaman and Nicobar Islands
6787,25-Aug-20,AP,9927,92,9419,Andhra Pradesh
6788,25-Aug-20,AR,100,0,81,Arunachal Pradesh
6789,25-Aug-20,AS,1973,8,1724,Assam
6790,25-Aug-20,BR,1444,17,3169,Bihar
